sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
039,pokemon,Chef Dente,藏饱栗鼠（厨师）,039-chef-dente.webp,assets/pokopia_image_sources/pokemon_portraits/039-chef-dente.webp,https://img.rankedboost.com/wp-content/plugins/pokopia/assets/npcs/chef-dente.png,https://rankedboost.com/pokopia/pokedex/,rankedboost_pokedex,official_pokopia_sc_pokemon,image/webp,140372,f597e2ee7ab4931e90c02579a1ce8b38e1ef40332f8b9fe313da49f33df990ec,ok,
040,pokemon,Cinccino,奇诺栗鼠,040-cinccino.png,assets/pokopia_image_sources/pokemon_portraits/040-cinccino.png,https://pokopiadex.com/images/pokemon/sprites/cinccino.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,140459,103e547c88a71a7e4afad770cceae344d50c4176d3c4b7f39493168efab91cbc,ok,
041,pokemon,Cinderace,闪焰王牌,041-cinderace.png,assets/pokopia_image_sources/pokemon_portraits/041-cinderace.png,https://pokopiadex.com/images/pokemon/sprites/cinderace.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,79437,ec5dbe1e3c82f690c47bf039853ba132eb1b7ec854b78d0339abb55a9f70ffe3,ok,
042,pokemon,Clefable,皮可西,042-clefable.png,assets/pokopia_image_sources/pokemon_portraits/042-clefable.png,https://pokopiadex.com/images/pokemon/sprites/clefable.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,138246,ee602a464354bc7f39d28927362fa8b96fa57a605bbee463b86c0ef106975514,ok,
043,pokemon,Clefairy,皮皮,043-clefairy.png,assets/pokopia_image_sources/pokemon_portraits/043-clefairy.png,https://pokopiadex.com/images/pokemon/sprites/clefairy.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,113686,1a16f1de86f574dc1eb8dc5f189abfd9196e9e6790e7e4ed8514d43189bedfcf,ok,
044,pokemon,Cleffa,皮宝宝,044-cleffa.png,assets/pokopia_image_sources/pokemon_portraits/044-cleffa.png,https://pokopiadex.com/images/pokemon/sprites/cleffa.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,107834,2c4e439da17a888de38642a7a96b7362881ee0b52992aabf5157caf04f42a8bd,ok,
045,pokemon,Clodsire,土王,045-clodsire.png,assets/pokopia_image_sources/pokemon_portraits/045-clodsire.png,https://pokopiadex.com/images/pokemon/sprites/clodsire.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,95913,7df3d9ae55fc482e76a40f17fd5f54f30ffe73f4fe2c3271ec195de495b92fbf,ok,
046,pokemon,Coalossal,巨炭山,046-coalossal.png,assets/pokopia_image_sources/pokemon_portraits/046-coalossal.png,https://pokopiadex.com/images/pokemon/sprites/coalossal.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,147778,507de59b5384a1c100cc8847c1b1707a926b627796a9b43334bd103c48529012,ok,
047,pokemon,Combee,三蜜蜂,047-combee.png,assets/pokopia_image_sources/pokemon_portraits/047-combee.png,https://pokopiadex.com/images/pokemon/sprites/combee.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,65049,cd0992b6b6b8e6c2144dea097d8deaf0aabf41a57d751e388c52aa25ce28ae77,ok,
048,pokemon,Combusken,力壮鸡,048-combusken.png,assets/pokopia_image_sources/pokemon_portraits/048-combusken.png,https://pokopiadex.com/images/pokemon/sprites/combusken.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,113601,8b339d6aedeb91126fb8515a57943a04e009b89e3a63b97a03c16481e6da7444,ok,
